workerID, gender, nativeLanguage, income, age, sentenceID, domain, numberType, utteredPriceRounded, inferredPrice0, inferredPrice1, inferredPrice2, inferredPrice3, inferredPrice4, inferredPrice5, probOpinion, order, buyer, 
A1XAOEDK0Y2KBT, M, English, 6, 45, 87, laptop, round, 2000, 38, 38, 11, 10, 1, 0, 1, 1, Rodney, 
A1XAOEDK0Y2KBT, M, English, 6, 45, 96, laptop, sharp, 10000, 39, 39, 11, 11, 1, 1, 1, 2, Leon, 
A1XAOEDK0Y2KBT, M, English, 6, 45, 93, laptop, sharp, 500, 40, 38, 9, 8, 0, 1, 0.975, 3, Joseph, 
A1XAOEDK0Y2KBT, M, English, 6, 45, 95, laptop, sharp, 2000, 38, 39, 10, 9, 0, 1, 0.975, 4, Carl, 
A1XAOEDK0Y2KBT, M, English, 6, 45, 85, laptop, round, 500, 38, 38, 13, 10, 2, 1, 0.275, 5, Dean, 
A1XAOEDK0Y2KBT, M, English, 6, 45, 88, laptop, round, 10000, 39, 39, 11, 10, 1, 1, 1, 6, Will, 
A6O1VFV32LBS8, F, english, 11, 55, 88, laptop, round, 10000, 27, 27, 0, 0, 0, 0, 1, 1, Will, 
A6O1VFV32LBS8, F, english, 11, 55, 93, laptop, sharp, 500, 33, 34, 6, 9, 0, 0, 0.225, 2, Joseph, 
A6O1VFV32LBS8, F, english, 11, 55, 96, laptop, sharp, 10000, 30, 31, 10, 11, 0, 0, 1, 3, Leon, 
A6O1VFV32LBS8, F, english, 11, 55, 95, laptop, sharp, 2000, 28, 28, 11, 11, 0, 0, 0.5, 4, Carl, 
A6O1VFV32LBS8, F, english, 11, 55, 85, laptop, round, 500, 29, 29, 9, 8, 0, 0, 0.225, 5, Dean, 
A6O1VFV32LBS8, F, english, 11, 55, 87, laptop, round, 2000, 30, 29, 12, 10, 0, 0, 0.55, 6, Rodney, 
AXOR2N1EAFVYF, M, English, 4, 35, 87, laptop, round, 2000, 4, 6, 29, 31, 0, 0, 0.6, 1, Rodney, 
AXOR2N1EAFVYF, M, English, 4, 35, 93, laptop, sharp, 500, 25, 30, 5, 4, 0, 0, 0.25, 2, Joseph, 
AXOR2N1EAFVYF, M, English, 4, 35, 85, laptop, round, 500, 33, 33, 5, 4, 1, 0, 0.225, 3, Dean, 
AXOR2N1EAFVYF, M, English, 4, 35, 95, laptop, sharp, 2000, 10, 9, 28, 30, 1, 0, 0.7, 4, Carl, 
AXOR2N1EAFVYF, M, English, 4, 35, 96, laptop, sharp, 10000, 10, 10, 28, 28, 6, 6, 0.95, 5, Leon, 
AXOR2N1EAFVYF, M, English, 4, 35, 88, laptop, round, 10000, 8, 8, 28, 30, 3, 4, 0.975, 6, Will, 
A2I8VBHRESMG9S, M, English, 4, 65, 96, laptop, sharp, 10000, 26, 26, 11, 11, 1, 1, 0.975, 1, Leon, 
A2I8VBHRESMG9S, M, English, 4, 65, 85, laptop, round, 500, 38, 38, 2, 2, 0, 0, 0.15, 2, Dean, 
A2I8VBHRESMG9S, M, English, 4, 65, 87, laptop, round, 2000, 10, 10, 37, 37, 1, 1, 0.65, 3, Rodney, 
A2I8VBHRESMG9S, M, English, 4, 65, 95, laptop, sharp, 2000, 4, 4, 36, 36, 1, 1, 0.725, 4, Carl, 
A2I8VBHRESMG9S, M, English, 4, 65, 88, laptop, round, 10000, 5, 5, 33, 33, 1, 1, 0.95, 5, Will, 
A2I8VBHRESMG9S, M, English, 4, 65, 93, laptop, sharp, 500, 23, 40, 2, 2, 0, 0, 0.175, 6, Joseph, 
A310OMOTSI6J7E, M, English, 6, 25, 88, laptop, round, 10000, 6, 6, 6, 6, 39, 11, 0.625, 1, Will, 
A310OMOTSI6J7E, M, English, 6, 25, 96, laptop, sharp, 10000, 6, 6, 6, 6, 10, 39, 0.65, 2, Leon, 
A310OMOTSI6J7E, M, English, 6, 25, 87, laptop, round, 2000, 6, 7, 40, 13, 6, 6, 0.575, 3, Rodney, 
A310OMOTSI6J7E, M, English, 6, 25, 95, laptop, sharp, 2000, 6, 6, 9, 40, 7, 7, 0.575, 4, Carl, 
A310OMOTSI6J7E, M, English, 6, 25, 85, laptop, round, 500, 40, 10, 6, 6, 6, 6, 0.3, 5, Dean, 
A310OMOTSI6J7E, M, English, 6, 25, 93, laptop, sharp, 500, 10, 40, 6, 6, 6, 6, 0.35, 6, Joseph, 
A2Z9PQMLGDF60M, F, english, 6, 35, 93, laptop, sharp, 500, 28, 28, 17, 13, 1, 0, 0.4, 1, Joseph, 
A2Z9PQMLGDF60M, F, english, 6, 35, 96, laptop, sharp, 10000, 22, 24, 28, 26, 0, 1, 0.975, 2, Leon, 
A2Z9PQMLGDF60M, F, english, 6, 35, 85, laptop, round, 500, 23, 24, 24, 24, 1, 1, 0.225, 3, Dean, 
A2Z9PQMLGDF60M, F, english, 6, 35, 95, laptop, sharp, 2000, 11, 11, 26, 28, 3, 3, 0.775, 4, Carl, 
A2Z9PQMLGDF60M, F, english, 6, 35, 87, laptop, round, 2000, 13, 10, 34, 32, 4, 2, 0.6, 5, Rodney, 
A2Z9PQMLGDF60M, F, english, 6, 35, 88, laptop, round, 10000, 11, 5, 22, 23, 2, 1, 0.975, 6, Will, 
A23NU31ORFU2KU, F, english, 6, 35, 88, laptop, round, 10000, 30, 12, 31, 28, 33, 33, 0.75, 1, Will, 
A23NU31ORFU2KU, F, english, 6, 35, 96, laptop, sharp, 10000, 31, 26, 27, 28, 28, 27, 0.75, 2, Leon, 
A23NU31ORFU2KU, F, english, 6, 35, 95, laptop, sharp, 2000, 30, 31, 32, 14, 28, 8, 0.4, 3, Carl, 
A23NU31ORFU2KU, F, english, 6, 35, 87, laptop, round, 2000, 27, 14, 30, 25, 28, 12, 0.5, 4, Rodney, 
A23NU31ORFU2KU, F, english, 6, 35, 93, laptop, sharp, 500, 15, 32, 24, 29, 28, 26, 0.675, 5, Joseph, 
A23NU31ORFU2KU, F, english, 6, 35, 85, laptop, round, 500, 31, 29, 11, 3, 2, 0, 0.625, 6, Dean, 
A150NFHME4R69D, F, English , 11, 45, 95, laptop, sharp, 2000, 39, 31, 21, 18, 1, 1, 0.75, 1, Carl, 
A150NFHME4R69D, F, English , 11, 45, 96, laptop, sharp, 10000, 40, 40, 20, 20, 1, 0, 1, 2, Leon, 
A150NFHME4R69D, F, English , 11, 45, 93, laptop, sharp, 500, 40, 40, 20, 20, 1, 1, 0.25, 3, Joseph, 
A150NFHME4R69D, F, English , 11, 45, 87, laptop, round, 2000, 40, 39, 20, 20, 1, 0, 0.75, 4, Rodney, 
A150NFHME4R69D, F, English , 11, 45, 88, laptop, round, 10000, 40, 39, 18, 19, 1, 1, 1, 5, Will, 
A150NFHME4R69D, F, English , 11, 45, 85, laptop, round, 500, 39, 39, 23, 23, 0, 1, 0.2, 6, Dean, 
A39VL3M1CKR1KJ, M, English, 6, 35, 88, laptop, round, 10000, 26, 26, 26, 26, 0, 0, 1, 1, Will, 
A39VL3M1CKR1KJ, M, English, 6, 35, 93, laptop, sharp, 500, 20, 40, 12, 11, 0, 0, 0.25, 2, Joseph, 
A39VL3M1CKR1KJ, M, English, 6, 35, 87, laptop, round, 2000, 24, 25, 38, 38, 0, 0, 0.4, 3, Rodney, 
A39VL3M1CKR1KJ, M, English, 6, 35, 95, laptop, sharp, 2000, 16, 15, 40, 40, 0, 0, 0.425, 4, Carl, 
