workerID,gender,language,income,age,utteranceID,domain,utteranceType,utteranceRounded,exactUtterance,utterance,utteranceExactType,opinionProb,order,interpretation,interpretationType,interpretationRounded,interpretationProb
AYEIQ08ZWJX3L,F,English,4,25,8,electric kettle,sharp,1000,1003,1001,biggerSharp,0.025,0.75,50,round,50,0.0140845070423
AYEIQ08ZWJX3L,F,English,4,25,8,electric kettle,sharp,1000,1003,1001,biggerSharp,0.025,0.75,51,sharp,50,0.0140845070423
AYEIQ08ZWJX3L,F,English,4,25,8,electric kettle,sharp,1000,1003,1001,biggerSharp,0.025,0.75,500,round,500,0.0281690140845
AYEIQ08ZWJX3L,F,English,4,25,8,electric kettle,sharp,1000,1003,1001,biggerSharp,0.025,0.75,501,sharp,500,0.0140845070423
AYEIQ08ZWJX3L,F,English,4,25,8,electric kettle,sharp,1000,1003,1001,biggerSharp,0.025,0.75,1000,round,1000,0.323943661972
AYEIQ08ZWJX3L,F,English,4,25,8,electric kettle,sharp,1000,1003,1001,biggerSharp,0.025,0.75,1001,sharp,1000,0.549295774648
AYEIQ08ZWJX3L,F,English,4,25,8,electric kettle,sharp,1000,1003,1001,biggerSharp,0.025,0.75,5000,round,5000,0.0140845070423
AYEIQ08ZWJX3L,F,English,4,25,8,electric kettle,sharp,1000,1003,1001,biggerSharp,0.025,0.75,5001,sharp,5000,0.0140845070423
AYEIQ08ZWJX3L,F,English,4,25,8,electric kettle,sharp,1000,1003,1001,biggerSharp,0.025,0.75,10000,round,10000,0.0140845070423
AYEIQ08ZWJX3L,F,English,4,25,8,electric kettle,sharp,1000,1003,1001,biggerSharp,0.025,0.75,10001,sharp,10000,0.0140845070423
AYEIQ08ZWJX3L,F,English,4,25,13,watch,round,1000,1000,1000,round,0.025,0.5,50,round,50,0.02
AYEIQ08ZWJX3L,F,English,4,25,13,watch,round,1000,1000,1000,round,0.025,0.5,51,sharp,50,0.02
AYEIQ08ZWJX3L,F,English,4,25,13,watch,round,1000,1000,1000,round,0.025,0.5,500,round,500,0.04
AYEIQ08ZWJX3L,F,English,4,25,13,watch,round,1000,1000,1000,round,0.025,0.5,501,sharp,500,0.02
AYEIQ08ZWJX3L,F,English,4,25,13,watch,round,1000,1000,1000,round,0.025,0.5,1000,round,1000,0.8
AYEIQ08ZWJX3L,F,English,4,25,13,watch,round,1000,1000,1000,round,0.025,0.5,1001,sharp,1000,0.02
